trade_id,market_id,event_id,trade_ts,buyer_trader_id,seller_trader_id,buy_order_id,sell_order_id,outcome,price,size_shares,notional_usdc,aggressor_side,buyer_fee_usdc,seller_fee_usdc,spread_at_trade_bps,midpoint_before,midpoint_after,signed_price_change_bps,onchain_settlement_delay_s,match_engine_latency_ms,is_self_trade_flag,same_builder_code_flag,price_improvement_bps,queue_position_estimate,seq_num,trade_date
trd_004728,mkt_040,evt_040,2026-01-05 06:05:40,tr_0160,tr_0185,ord_3RTEN873K8RT,ord_6U1CCX617CT5,YES,0.273,0.25,0.07,BUY,0.0001,0.0,131,0.278,0.27,-77,101,72,False,False,-1,27,4728,2026-01-05
trd_006079,mkt_020,evt_020,2026-01-05 06:27:33,tr_0251,tr_0097,ord_367438OW6Q2U,ord_J1JZ4MQIMVGD,YES,0.093,35.77,3.32,BUY,0.0033,0.002,74,0.082,0.094,111,15,51,False,False,-4,12,6079,2026-01-05
trd_000424,mkt_040,evt_040,2026-01-05 11:54:04,tr_0120,tr_0333,ord_DW2QUPUUDJU6,ord_C969OC3KF5PD,YES,0.568,35.6,20.22,SELL,0.0303,0.0121,110,0.589,0.572,-174,251,42,False,False,-14,94,424,2026-01-05
trd_004981,mkt_020,evt_020,2026-01-05 12:52:10,tr_0267,tr_0205,ord_CGIL5MKZOG9W,ord_DU0D972H5ENT,YES,0.041,1.04,0.04,SELL,0.0001,0.0,86,0.039,0.039,0,72,55,False,False,13,5,4981,2026-01-05
trd_002034,mkt_040,evt_040,2026-01-05 13:56:59,tr_0257,tr_0337,ord_VNT2QFQ4CNR1,ord_Y1TEHPKMTQCN,YES,0.326,1.33,0.43,SELL,0.0004,0.0,53,0.332,0.323,-87,44,49,False,True,-12,9,2034,2026-01-05
trd_001948,mkt_040,evt_040,2026-01-05 15:37:58,tr_0249,tr_0055,ord_SQ1I2GMZMAPW,ord_8GJVUILPO969,NO,0.36,3.83,1.38,BUY,0.0028,0.0008,47,0.349,0.343,-60,28,48,False,False,-2,89,1948,2026-01-05
trd_006962,mkt_020,evt_020,2026-01-05 16:55:07,tr_0188,tr_0242,ord_MGTED0MPK67A,ord_ZOCHTWMO7RVA,NO,0.01,15.9,0.16,SELL,0.0003,0.0001,44,0.011,0.01,-14,350,67,False,False,-3,70,6962,2026-01-05
trd_004513,mkt_001,evt_001,2026-01-05 17:15:51,tr_0340,tr_0292,ord_YKPZU00IPUMI,ord_BRIXOZ7Z3A8T,NO,0.788,6.12,4.82,BUY,0.0048,0.0039,24,0.8,0.79,-93,125,35,False,True,-14,10,4513,2026-01-05
trd_005676,mkt_020,evt_020,2026-01-05 17:31:06,tr_0151,tr_0081,ord_KERM3VQRTQU6,ord_F1B0PRUBR34T,NO,0.033,20.99,0.68,SELL,0.0007,0.0004,73,0.016,0.037,210,43,93,False,False,21,35,5676,2026-01-05
trd_005715,mkt_008,evt_008,2026-01-05 17:31:14,tr_0148,tr_0080,ord_QW394VJN6A50,ord_AAHFRQMMPNSF,NO,0.767,11.94,9.16,BUY,0.0137,0.0055,143,0.762,0.76,-16,127,82,False,False,7,93,5715,2026-01-05
trd_006603,mkt_020,evt_020,2026-01-05 18:49:56,tr_0292,tr_0116,ord_H6U3Z04FGK4R,ord_USYVD1LFFUM7,NO,0.046,0.89,0.04,SELL,0.0,0.0,93,0.043,0.025,-183,8,100,False,False,-14,10,6603,2026-01-05
trd_000371,mkt_040,evt_040,2026-01-05 19:31:24,tr_0287,tr_0142,ord_HFB5RDP8RYGH,ord_0SE3IJ5MW0D5,YES,0.579,19.45,11.26,BUY,0.0056,0.0023,67,0.56,0.574,143,106,41,False,False,-8,64,371,2026-01-05
trd_003777,mkt_040,evt_040,2026-01-05 20:29:21,tr_0008,tr_0143,ord_EV60LS3KXMD2,ord_ZBP62U2AUXIS,YES,0.295,1.24,0.37,BUY,0.0004,0.0001,87,0.296,0.297,9,29,38,False,False,7,33,3777,2026-01-05
trd_003881,mkt_020,evt_020,2026-01-05 20:33:05,tr_0215,tr_0176,ord_YE3VQU6TEED7,ord_HV97WXXEXTPE,YES,0.095,16.41,1.56,SELL,0.0008,0.0009,43,0.081,0.103,223,11,132,False,False,-1,15,3881,2026-01-05
trd_003805,mkt_008,evt_008,2026-01-05 20:38:12,tr_0288,tr_0330,ord_SJSHZUMS58LZ,ord_2M3P6YKCOTMM,NO,0.57,7.18,4.1,BUY,0.0041,0.0,61,0.564,0.571,78,21,33,False,False,-17,10,3805,2026-01-05
trd_002853,mkt_020,evt_020,2026-01-05 20:57:57,tr_0162,tr_0070,ord_9ERU9XZ5RUAR,ord_POWGEEJ6ZUN3,NO,0.241,12.88,3.1,BUY,0.0031,0.0012,112,0.235,0.242,76,108,139,False,False,12,78,2853,2026-01-05
trd_004416,mkt_040,evt_040,2026-01-05 21:20:05,tr_0295,tr_0273,ord_UUND3KIHPR8C,ord_VI63JYPM79NT,YES,0.272,5.0,1.36,BUY,0.0014,0.0003,48,0.27,0.274,34,147,65,False,False,-4,37,4416,2026-01-05
trd_003631,mkt_020,evt_020,2026-01-05 21:34:36,tr_0051,tr_0063,ord_ZOK1N9AYF45G,ord_2ZEXGXTZ604F,YES,0.126,137.56,17.33,BUY,0.0173,0.0,62,0.13,0.116,-140,40,50,False,False,18,142,3631,2026-01-05
trd_005213,mkt_020,evt_020,2026-01-05 22:01:26,tr_0059,tr_0291,ord_GKUF2ZETHJRZ,ord_LW9IRDTVIE16,YES,0.037,40.0,1.49,SELL,0.0022,0.0006,96,0.05,0.045,-52,72,39,False,False,-18,31,5213,2026-01-05
trd_001560,mkt_020,evt_020,2026-01-05 22:31:57,tr_0250,tr_0154,ord_OO4L974ZI27Y,ord_FLV8CF3A3QJA,NO,0.179,13.97,2.5,SELL,0.0013,0.001,163,0.189,0.176,-137,137,82,False,False,7,27,1560,2026-01-05
trd_003036,mkt_020,evt_020,2026-01-05 22:43:26,tr_0173,tr_0220,ord_LM6ENVADXXAZ,ord_2PY36A90RGHO,YES,0.202,27.25,5.51,SELL,0.0028,0.0,76,0.179,0.203,243,109,75,False,False,19,41,3036,2026-01-05
trd_005058,mkt_020,evt_020,2026-01-05 23:07:08,tr_0262,tr_0124,ord_P0BXIRS0QKAO,ord_I6JJ805KDWQ4,YES,0.027,3.93,0.11,BUY,0.0002,0.0001,20,0.039,0.024,-150,191,92,False,False,13,21,5058,2026-01-05
trd_001674,mkt_020,evt_020,2026-01-05 23:50:54,tr_0001,tr_0091,ord_ZTO7LFJQL42V,ord_5X36AAMD3BHM,YES,0.173,2.92,0.51,BUY,0.0008,0.0001,45,0.162,0.17,75,587,43,False,False,23,73,1674,2026-01-05
trd_007805,mkt_040,evt_040,2026-01-06 00:37:47,tr_0214,tr_0137,ord_6VAU0YPU4WPK,ord_MMDZ9T2R2GND,NO,0.224,79.66,17.87,SELL,0.0179,0.0143,92,0.236,0.226,-104,512,72,False,False,-17,25,7805,2026-01-06
trd_002251,mkt_040,evt_040,2026-01-06 03:31:02,tr_0150,tr_0028,ord_CU1SEHA7D45T,ord_JSAJJF4XDK4Y,YES,0.275,0.58,0.16,BUY,0.0002,0.0001,67,0.269,0.264,-51,78,40,False,False,20,65,2251,2026-01-06
trd_005656,mkt_020,evt_020,2026-01-06 03:31:36,tr_0158,tr_0083,ord_XA7A6G7FBL4Q,ord_XA3J71MAIR7S,YES,0.021,5.07,0.11,SELL,0.0002,0.0,26,0.032,0.016,-150,27,45,False,False,-14,18,5656,2026-01-06
trd_005528,mkt_020,evt_020,2026-01-06 04:43:03,tr_0344,tr_0216,ord_3Q0ZK97YLP06,ord_JLV4ACT3EVQZ,NO,0.01,1.49,0.01,BUY,0.0,0.0,141,0.023,0.01,-127,112,64,False,False,14,44,5528,2026-01-06
trd_004834,mkt_035,evt_035,2026-01-06 06:36:19,tr_0333,tr_0180,ord_WH37BG08LNVE,ord_EFTB3XO79GZ3,NO,0.394,1.71,0.67,BUY,0.0007,0.0001,55,0.398,0.407,86,17,55,False,False,5,30,4834,2026-01-06
trd_003707,mkt_008,evt_008,2026-01-06 07:44:53,tr_0168,tr_0292,ord_NSVDAJE5P3S6,ord_339D0MAC7TRQ,NO,0.505,16.5,8.33,BUY,0.0083,0.0067,19,0.519,0.504,-149,194,29,False,False,4,19,3707,2026-01-06
trd_005948,mkt_028,evt_028,2026-01-06 08:12:43,tr_0240,tr_0215,ord_C3MJJBAFS6IO,ord_YTEK0D332DRS,NO,0.544,2.89,1.57,BUY,0.0024,0.0013,92,0.546,0.566,208,33,91,False,False,-1,67,5948,2026-01-06
trd_005811,mkt_020,evt_020,2026-01-06 09:10:39,tr_0015,tr_0159,ord_J8D2WJ4N7AHX,ord_K5DK6BQ4UPBM,YES,0.038,16.57,0.62,BUY,0.0009,0.0,66,0.025,0.034,84,42,53,False,False,-9,6,5811,2026-01-06
trd_003110,mkt_021,evt_021,2026-01-06 10:14:51,tr_0111,tr_0079,ord_7RSA2RTR2W9W,ord_IBE2JQY2HIWT,NO,0.675,0.97,0.65,BUY,0.001,0.0,75,0.664,0.661,-36,163,54,False,False,10,223,3110,2026-01-06
trd_005832,mkt_020,evt_020,2026-01-06 10:26:20,tr_0287,tr_0293,ord_N41AR4IU0Y6F,ord_GOGHAR33R40A,YES,0.019,19.17,0.36,BUY,0.0002,0.0001,165,0.034,0.029,-49,58,48,False,False,-3,10,5832,2026-01-06
trd_000244,mkt_040,evt_040,2026-01-06 12:00:36,tr_0270,tr_0090,ord_AB4V3DBYJ9RP,ord_2AF939S4BPGN,YES,0.61,1.22,0.74,BUY,0.0007,0.0,44,0.583,0.61,271,80,95,False,False,-24,26,244,2026-01-06
trd_006376,mkt_028,evt_028,2026-01-06 13:32:31,tr_0097,tr_0055,ord_I6WM0M7I7GKR,ord_I9CVYEBEH2DM,YES,0.535,2.76,1.48,SELL,0.0015,0.0009,27,0.544,0.541,-34,220,33,False,False,-14,51,6376,2026-01-06
trd_002502,mkt_040,evt_040,2026-01-06 13:57:08,tr_0107,tr_0048,ord_KYPHFV2MMHI2,ord_4GMELO0Y5Y5A,NO,0.243,1.61,0.39,BUY,0.0008,0.0,94,0.259,0.253,-58,115,31,False,False,-4,19,2502,2026-01-06
trd_004612,mkt_040,evt_040,2026-01-06 14:13:00,tr_0292,tr_0141,ord_UAIUS3HVQ0GM,ord_IKSTWBX0D9LG,YES,0.261,0.08,0.02,SELL,0.0,0.0,1,0.264,0.266,14,74,50,False,False,-16,13,4612,2026-01-06
trd_002476,mkt_020,evt_020,2026-01-06 14:46:33,tr_0067,tr_0166,ord_042OV7EHGMLP,ord_3N2DKXPY6PDL,NO,0.238,34.48,8.21,BUY,0.0123,0.0016,40,0.251,0.234,-168,193,45,False,False,-10,40,2476,2026-01-06
trd_000631,mkt_008,evt_008,2026-01-06 15:03:04,tr_0204,tr_0052,ord_C02464QOE9UZ,ord_X3Y6G0VFOI6I,YES,0.62,4.35,2.7,BUY,0.0013,0.0005,10,0.638,0.618,-202,12,37,False,False,-17,37,631,2026-01-06
trd_005588,mkt_035,evt_035,2026-01-06 16:57:24,tr_0333,tr_0292,ord_UX1IVW2CD3MT,ord_8BCPFGKWQAYN,YES,0.317,2.03,0.64,BUY,0.0006,0.0005,25,0.312,0.333,205,240,41,False,False,6,10,5588,2026-01-06
trd_007272,mkt_035,evt_035,2026-01-06 17:04:33,tr_0302,tr_0312,ord_VBPK33VERFZF,ord_BTCI2NWLUD58,NO,0.42,5.0,2.1,SELL,0.0021,0.0013,25,0.417,0.437,195,153,49,False,False,7,48,7272,2026-01-06
trd_005134,mkt_035,evt_035,2026-01-06 17:31:14,tr_0118,tr_0251,ord_IISXF58WDMTV,ord_8HUTXM5JBUBY,NO,0.398,3.99,1.59,BUY,0.0016,0.0003,125,0.383,0.404,206,172,30,False,False,-10,24,5134,2026-01-06
trd_004900,mkt_028,evt_028,2026-01-06 17:37:08,tr_0293,tr_0105,ord_96BWYPAE9E62,ord_FJKFG3VI7OJ4,YES,0.631,4.65,2.93,SELL,0.0044,0.0012,11,0.648,0.641,-74,81,108,False,False,10,28,4900,2026-01-06
trd_003803,mkt_040,evt_040,2026-01-06 17:49:58,tr_0027,tr_0104,ord_283W1NVD08NZ,ord_G1LJZ1X76508,YES,0.321,16.48,5.29,SELL,0.0053,0.0021,88,0.297,0.324,265,22,108,False,False,-11,19,3803,2026-01-06
trd_007543,mkt_021,evt_021,2026-01-06 18:54:11,tr_0039,tr_0029,ord_FCVUXYBWIYZE,ord_EZ9XM9FFOWST,YES,0.947,0.25,0.24,BUY,0.0001,0.0,10,0.958,0.951,-69,48,54,False,False,6,133,7543,2026-01-06
trd_007466,mkt_028,evt_028,2026-01-06 18:59:07,tr_0294,tr_0217,ord_62WNZG4WEBGV,ord_RN6MJ0T23G3L,YES,0.281,5.0,1.41,BUY,0.0014,0.0008,60,0.288,0.287,-10,53,59,False,False,-7,31,7466,2026-01-06
trd_001430,mkt_040,evt_040,2026-01-06 20:44:51,tr_0330,tr_0216,ord_IRKVOL8FGZ9C,ord_VKXZN0M18XBR,NO,0.484,0.18,0.09,SELL,0.0001,0.0,101,0.481,0.476,-50,11,24,False,False,-4,91,1430,2026-01-06
trd_007146,mkt_008,evt_008,2026-01-06 22:22:27,tr_0292,tr_0098,ord_Q4ZEE3QHPW08,ord_MCA3FTTP1K5A,YES,0.501,16.94,8.49,SELL,0.0085,0.0017,76,0.502,0.497,-54,136,26,False,False,8,26,7146,2026-01-06
trd_003956,mkt_030,evt_030,2026-01-07 00:39:07,tr_0120,tr_0333,ord_SCCRKAQE0PKZ,ord_ILVZUGMIG98L,YES,0.504,12.24,6.17,SELL,0.0093,0.0037,98,0.5,0.516,164,75,122,False,False,9,14,3956,2026-01-07
trd_006760,mkt_040,evt_040,2026-01-07 00:52:41,tr_0214,tr_0347,ord_XUPMKV8RVFVD,ord_M1D4T1YZ5W0A,NO,0.143,0.84,0.12,BUY,0.0001,0.0,86,0.148,0.154,68,19,43,False,False,7,18,6760,2026-01-07
trd_005567,mkt_020,evt_020,2026-01-07 02:04:29,tr_0292,tr_0204,ord_7EAO3TM78V58,ord_9PGGJYLWERSR,YES,0.01,5.0,0.05,BUY,0.0001,0.0,52,0.018,0.032,132,225,35,False,False,4,22,5567,2026-01-07
trd_003643,mkt_021,evt_021,2026-01-07 03:55:34,tr_0057,tr_0206,ord_BFFX3Z7L036B,ord_5CO5JDG7ZBB8,NO,0.732,21.44,15.7,BUY,0.0314,0.0031,51,0.728,0.748,195,33,47,False,False,24,23,3643,2026-01-07
trd_003106,mkt_020,evt_020,2026-01-07 05:05:52,tr_0208,tr_0327,ord_89PVBKZUO9JI,ord_7FNGG9XZY7I7,YES,0.209,14.74,3.08,BUY,0.0062,0.0006,71,0.203,0.221,180,182,49,False,False,-4,51,3106,2026-01-07
trd_002889,mkt_020,evt_020,2026-01-07 05:06:39,tr_0236,tr_0292,ord_FJ8DKK494WDQ,ord_JM7GB0KLN5EM,NO,0.223,104.18,23.25,SELL,0.0233,0.0186,83,0.242,0.213,-290,49,60,False,False,-4,12,2889,2026-01-07
trd_003315,mkt_035,evt_035,2026-01-07 05:53:49,tr_0007,tr_0259,ord_UMPZBFKS2ZZV,ord_EEUPISYJIY6D,YES,0.452,14.49,6.55,SELL,0.0098,0.0052,76,0.466,0.452,-141,7,36,False,False,6,58,3315,2026-01-07
trd_003083,mkt_021,evt_021,2026-01-07 06:22:39,tr_0310,tr_0320,ord_G4OPNNW2834T,ord_6BS7QLAPFWXI,YES,0.68,83.95,57.11,SELL,0.0857,0.0228,43,0.662,0.669,68,98,32,False,False,0,64,3083,2026-01-07
trd_005421,mkt_040,evt_040,2026-01-07 06:38:37,tr_0095,tr_0211,ord_MDPJTZLZJNHL,ord_F3AKVZS9K3GW,YES,0.227,0.36,0.08,BUY,0.0001,0.0,37,0.213,0.221,82,10,73,False,False,-16,14,5421,2026-01-07
trd_002343,mkt_035,evt_035,2026-01-07 07:20:00,tr_0051,tr_0140,ord_YRFC1XWM1986,ord_GMYB4HIZGGP2,YES,0.3,11.48,3.45,SELL,0.0034,0.0014,130,0.304,0.286,-181,64,75,False,False,-4,104,2343,2026-01-07
trd_006933,mkt_008,evt_008,2026-01-07 07:28:08,tr_0242,tr_0326,ord_J7HIME3BZW1D,ord_8A3DO9YKIUT9,NO,0.546,50.29,27.47,BUY,0.0412,0.0165,13,0.575,0.544,-306,54,35,False,False,7,15,6933,2026-01-07
trd_004500,mkt_020,evt_020,2026-01-07 07:52:33,tr_0124,tr_0006,ord_KKUF1J9EPHC1,ord_GLH78D4BPK09,YES,0.134,12.54,1.68,BUY,0.0025,0.0,73,0.122,0.111,-110,34,85,False,False,-1,40,4500,2026-01-07
trd_002395,mkt_020,evt_020,2026-01-07 08:04:07,tr_0266,tr_0149,ord_LKJK15FPWZ3S,ord_GVGFG78EZJ3E,YES,0.227,1.66,0.38,BUY,0.0002,0.0001,151,0.231,0.233,29,54,90,False,False,-13,14,2395,2026-01-07
trd_002810,mkt_040,evt_040,2026-01-07 08:07:40,tr_0287,tr_0260,ord_ZHZ35P35YC0Y,ord_CDN96F6U1ODB,YES,0.278,2.75,0.76,BUY,0.0004,0.0002,111,0.266,0.277,111,849,30,False,False,1,40,2810,2026-01-07
trd_006065,mkt_008,evt_008,2026-01-07 08:34:39,tr_0051,tr_0292,ord_TDWWPKRWARIE,ord_PWZAGDUT39XW,NO,0.679,48.51,32.94,SELL,0.0329,0.0264,41,0.665,0.672,74,28,81,False,False,-12,93,6065,2026-01-07
trd_001788,mkt_001,evt_001,2026-01-07 08:40:15,tr_0016,tr_0038,ord_JK5HF0ZCM67R,ord_SPGXUB3V8EWR,YES,0.702,9.93,6.97,SELL,0.0104,0.0042,45,0.7,0.707,66,114,59,False,False,-20,26,1788,2026-01-07
trd_001289,mkt_008,evt_008,2026-01-07 12:15:11,tr_0119,tr_0304,ord_2Q775P4HKUJ3,ord_ODYSTBDNTSYN,YES,0.56,3.0,1.68,SELL,0.0017,0.0003,65,0.554,0.562,76,115,59,False,False,-16,53,1289,2026-01-07
trd_001910,mkt_020,evt_020,2026-01-07 13:22:25,tr_0351,tr_0037,ord_3GOPVACZS5E7,ord_YURV1WR23RAI,NO,0.192,13.07,2.51,SELL,0.0038,0.0015,12,0.166,0.185,194,55,39,False,False,8,18,1910,2026-01-07
trd_004889,mkt_028,evt_028,2026-01-07 13:22:52,tr_0303,tr_0287,ord_618L3WGWDD94,ord_5G8QB9DZIZJ3,YES,0.654,39.03,25.52,BUY,0.0128,0.0051,76,0.631,0.648,170,24,38,False,False,0,14,4889,2026-01-07
trd_005531,mkt_040,evt_040,2026-01-07 14:01:28,tr_0068,tr_0333,ord_JMA59SGO22WW,ord_ZTZBD42W8KTM,NO,0.207,2.0,0.41,SELL,0.0002,0.0002,1,0.227,0.199,-280,212,58,False,True,-9,22,5531,2026-01-07
