session_id,trader_id,session_start,session_end,device_id,device_fingerprint_hash,device_type,os_name,browser_family,app_version,ip_address,ip_asn,ip_country,vpn_detected,tor_exit_detected,cookie_age_days,pageviews,avg_scroll_depth_pct,battery_pct_at_open,screen_resolution,locale_header,ab_test_bucket,push_permission,date
ses_A772F9S5R2KU,tr_0026,2025-12-06 22:07:02,2025-12-06 22:08:55,dev_9DUD85ZY,fp_CKEWRW6MVN35,desktop,Windows,AppWebView,2.10.1,174.2.212.101,14618,ES,True,False,5,19,60.5,85,1170x2532,fr-FR,control,granted,2025-12-06
ses_231WCGV6LRLW,tr_0091,2025-12-06 22:48:12,2025-12-06 22:51:06,dev_P47LZ0O1,fp_58J8H19YX6YI,desktop,macOS,Chrome,3.0.0,180.9.159.237,3320,US,False,False,30,17,60.8,92,1536x864,es-ES,C,unknown,2025-12-06
ses_MMTC0OBT5AT9,tr_0114,2025-12-07 00:00:58,2025-12-07 00:02:26,dev_HNUNHLKQ,fp_4W21HREURBLU,mobile_app,Windows,Firefox,2.11.0,196.8.174.197,3320,US,False,False,101,28,81.4,13,1536x864,en-US,A,denied,2025-12-07
ses_G4O69IRXW4OC,tr_0317,2025-12-07 00:39:57,2025-12-07 00:45:15,dev_H380NQPT,fp_7FB0D4J294U0,mobile_app,Android,AppWebView,2.11.0,93.76.169.233,14618,IE,False,False,27,1,43.9,70,1536x864,en-US,A,unknown,2025-12-07
ses_794STJQENWLK,tr_0327,2025-12-07 02:23:47,2025-12-07 02:27:15,dev_M024FJ57,fp_R7O0Y7LPSV0F,mobile_web,Android,Firefox,2.10.1,143.68.87.166,20473,CA,False,False,34,18,24.4,99,390x844,en-GB,C,granted,2025-12-07
ses_BRQW5259GMQ2,tr_0056,2025-12-07 04:00:55,2025-12-07 04:03:49,dev_P014X5DL,fp_WY1P6MXSWY0S,mobile_web,Windows,Safari,2.10.2,36.179.229.127,63949,IE,False,False,0,8,46.6,16,1280x720,de-DE,control,denied,2025-12-07
ses_VYRRV501EVGV,tr_0129,2025-12-07 07:39:40,2025-12-07 07:40:18,dev_TN77RQD4,fp_1PH3KKZWDT9U,mobile_web,Linux,Safari,2.10.1,139.176.19.108,63949,US,False,False,0,16,70.4,88,1170x2532,en-GB,A,granted,2025-12-07
ses_C5UDOTUQAJEL,tr_0274,2025-12-07 11:39:36,2025-12-07 11:41:13,dev_IVWOE58O,fp_AGP01TSNJA57,tablet,macOS,Chrome,3.0.0,69.114.196.120,20473,US,False,False,90,96,38.4,48,1280x720,de-DE,B,granted,2025-12-07
ses_W5MXVWBQ2C6X,tr_0279,2025-12-07 13:00:31,2025-12-07 13:04:47,dev_3WN8AARD,fp_7DQ8VDGWMQEB,mobile_web,Android,Edge,2.11.0,162.33.185.84,15169,US,True,False,197,15,70.6,26,1280x720,en-GB,control,denied,2025-12-07
ses_6JOLEOHTJFJ3,tr_0200,2025-12-07 16:40:46,2025-12-07 16:43:29,dev_2DCIHHNO,fp_UYKYPU1EJAYL,tablet,Android,Edge,2.10.2,153.132.239.50,9009,US,False,False,112,33,64.6,60,1920x1080,en-GB,C,denied,2025-12-07
ses_G315BDP4REC8,tr_0360,2025-12-07 17:28:08,2025-12-07 17:36:24,dev_TUUZ5BF3,fp_KSCNLHJNXP90,mobile_app,Linux,Firefox,2.10.2,178.24.174.12,12322,FR,False,False,28,38,48.5,46,1536x864,de-DE,control,denied,2025-12-07
ses_L57JB168TMYU,tr_0137,2025-12-08 02:31:44,2025-12-08 02:37:14,dev_08QG1IXB,fp_CTP4JYEU3QAH,mobile_web,Android,Firefox,2.10.2,29.55.3.86,13335,US,False,False,101,3,85.7,65,1280x720,en-US,A,denied,2025-12-08
ses_S0LJ3Z5OM1RQ,tr_0078,2025-12-08 09:34:34,2025-12-08 09:40:50,dev_881S6X59,fp_43ENIEOEUYD7,mobile_web,macOS,Chrome,2.11.1,97.0.77.66,15169,IE,False,False,0,9,59.7,98,1280x720,en-GB,control,unknown,2025-12-08
ses_KLX2WEDF4339,tr_0137,2025-12-08 17:11:36,2025-12-08 17:19:37,dev_0F8NUIX6,fp_HT3IE68PO55Q,tablet,Android,Firefox,2.10.1,143.19.80.188,63949,US,False,False,23,7,99.1,5,390x844,fr-FR,A,granted,2025-12-08
ses_EKPDVVJQB5ON,tr_0031,2025-12-08 21:33:16,2025-12-08 21:37:17,dev_46OTN4LL,fp_1WOR2PMWMVGI,desktop,Android,Edge,2.11.0,18.175.89.128,24940,US,False,False,135,9,90.8,94,1920x1080,es-ES,B,unknown,2025-12-08
ses_50UHEH3RFWTE,tr_0050,2025-12-09 01:10:22,2025-12-09 01:15:12,dev_VTX3NF27,fp_E6L8XCGMIURP,mobile_web,Windows,AppWebView,2.10.1,222.66.215.22,13335,US,True,False,65,7,37.1,67,1536x864,fr-FR,A,granted,2025-12-09
ses_MJL5H168287S,tr_0308,2025-12-09 06:19:36,2025-12-09 06:25:55,dev_F1PT6TRO,fp_UWFIAJIJNLP2,mobile_app,Windows,Edge,2.11.1,191.184.158.249,9009,FR,False,False,83,26,68.9,38,390x844,en-US,A,unknown,2025-12-09
ses_2YXCGL28DL4W,tr_0356,2025-12-09 07:06:12,2025-12-09 07:08:50,dev_G5W28UYG,fp_ETE7696VGCPW,mobile_web,macOS,Firefox,3.0.0,73.137.25.160,15169,SG,False,False,67,11,92.2,14,1170x2532,en-US,control,granted,2025-12-09
ses_I9DDG6HF8P7Q,tr_0344,2025-12-09 09:46:26,2025-12-09 09:48:32,dev_UR585WUJ,fp_F7BURV8TJ0NK,mobile_web,iOS,Edge,2.10.1,139.84.11.52,12322,NL,True,False,0,10,22.4,98,1170x2532,de-DE,C,granted,2025-12-09
ses_5BK0I5FXW933,tr_0142,2025-12-09 10:11:02,2025-12-09 10:12:36,dev_E2QT53BZ,fp_BBGB2Q40WEDM,mobile_app,Android,Chrome,2.10.1,197.132.10.1,15169,NL,True,False,152,57,42.3,47,1536x864,en-GB,A,denied,2025-12-09
ses_XCTURZ5MTILE,tr_0010,2025-12-09 16:52:03,2025-12-09 16:58:10,dev_JVC6TITU,fp_GSWUNS0U5QHY,tablet,iOS,AppWebView,2.11.1,75.24.172.133,16509,DE,False,False,65,76,88.4,48,1536x864,es-ES,C,denied,2025-12-09
ses_FA4T7QNVZ832,tr_0223,2025-12-09 19:10:00,2025-12-09 19:17:11,dev_8AB5KQ0K,fp_1BDNK6S6S5CG,mobile_web,macOS,Safari,2.11.1,47.169.138.104,8075,AU,False,False,122,11,88.0,89,390x844,de-DE,C,unknown,2025-12-09
ses_K7JZQA1OXC0V,tr_0141,2025-12-10 04:31:49,2025-12-10 04:34:07,dev_VKLQ0XJL,fp_AR90ESCDCOWD,mobile_web,Android,Edge,2.10.2,180.39.233.84,24940,US,False,True,4,31,64.6,12,1920x1080,en-US,A,denied,2025-12-10
ses_NB1GBGE8HAHA,tr_0053,2025-12-10 05:51:54,2025-12-10 05:58:03,dev_A11TACKB,fp_TVMPMS5JKM9H,desktop,macOS,Safari,2.11.0,104.142.195.180,20473,SG,False,False,0,15,61.9,32,1536x864,fr-FR,control,denied,2025-12-10
ses_ZNL7KKZZEG85,tr_0003,2025-12-10 06:17:06,2025-12-10 06:22:24,dev_5CTJMMUF,fp_T24Z4MCPCEZ1,mobile_web,Windows,Firefox,3.0.0,127.138.157.31,20473,US,False,False,17,41,76.6,96,1280x720,de-DE,B,granted,2025-12-10
ses_NIGZMK8J1923,tr_0089,2025-12-10 08:12:50,2025-12-10 08:14:59,dev_WVLCX7MM,fp_1HQB1EG4OHPN,tablet,Android,Firefox,3.0.0,32.247.137.146,13335,US,False,False,21,33,80.4,21,1170x2532,en-GB,C,denied,2025-12-10
ses_PYYNQ66Q73SM,tr_0088,2025-12-10 11:28:35,2025-12-10 11:32:17,dev_QL2TBER5,fp_XEJ2VBQKUW37,mobile_web,iOS,Chrome,2.10.1,141.49.105.87,20473,GB,False,False,23,16,57.2,94,1920x1080,de-DE,A,granted,2025-12-10
ses_KRG76PZEXBS9,tr_0194,2025-12-10 11:58:15,2025-12-10 12:02:16,dev_13S7KW56,fp_AWF0TCUKCOZU,desktop,macOS,Firefox,3.0.0,64.145.19.146,13335,SG,False,False,0,11,84.5,92,1536x864,es-ES,C,unknown,2025-12-10
ses_PEMKLMDH3PFD,tr_0290,2025-12-10 13:42:37,2025-12-10 13:44:10,dev_T75MCAYJ,fp_E8NFRAOTWSJ5,desktop,iOS,AppWebView,3.0.0,108.16.219.112,3320,FR,False,False,0,120,71.6,27,1280x720,en-GB,A,granted,2025-12-10
ses_3EQ7XX1W36CO,tr_0283,2025-12-10 14:25:25,2025-12-10 14:30:07,dev_ENWH5JZ5,fp_54KAXKHI5O54,tablet,macOS,Safari,3.0.0,54.152.23.77,8075,US,False,False,62,15,85.5,41,1920x1080,en-US,B,unknown,2025-12-10
ses_TS6Y3C1HD9N1,tr_0026,2025-12-10 16:42:48,2025-12-10 16:50:04,dev_O5BQWYO6,fp_53DYJXM8OG99,tablet,Windows,Chrome,3.0.0,127.188.165.8,12322,US,False,True,0,8,62.0,37,1920x1080,en-GB,C,denied,2025-12-10
ses_08DCNK4OWD14,tr_0008,2025-12-10 21:20:24,2025-12-10 21:24:25,dev_R4UT6F1X,fp_UHDGD23WRQSO,desktop,Android,Firefox,2.10.2,12.129.48.173,8075,US,False,False,105,6,79.1,57,1170x2532,es-ES,C,granted,2025-12-10
ses_6YQEF864BWX0,tr_0022,2025-12-10 22:05:09,2025-12-10 22:08:21,dev_S4T0KZXG,fp_HEXANVZGZTE0,desktop,Linux,Firefox,2.11.1,168.89.176.61,63949,CA,True,False,195,6,68.2,54,390x844,fr-FR,C,denied,2025-12-10
ses_EUULO17CKNM7,tr_0251,2025-12-10 22:12:39,2025-12-10 22:14:40,dev_UX1Q4QVT,fp_81KPDG9O98PO,desktop,Windows,Edge,2.11.0,39.149.239.177,15169,US,False,False,90,42,68.0,34,1920x1080,en-US,B,granted,2025-12-10
ses_CPXCAAL8VHF4,tr_0324,2025-12-10 22:50:46,2025-12-10 22:54:30,dev_8UZ27NR6,fp_DPFVHF1KM8B5,mobile_web,macOS,Edge,3.0.0,34.147.14.27,8075,GB,False,False,80,8,95.6,66,1170x2532,de-DE,control,granted,2025-12-10
ses_J8XXLWH60UE5,tr_0228,2025-12-10 23:18:24,2025-12-10 23:20:30,dev_C9SASJY2,fp_VJPNFIQJTGYV,desktop,Android,AppWebView,3.0.0,195.35.228.6,63949,US,False,False,127,16,46.1,8,1280x720,de-DE,B,granted,2025-12-10
ses_S7ULRGH1MYL5,tr_0282,2025-12-11 03:36:50,2025-12-11 03:45:59,dev_4NQNUCV0,fp_QQMQKWN8AKBD,mobile_web,Android,Chrome,2.11.1,206.181.73.246,20473,DE,False,False,194,12,57.2,84,390x844,fr-FR,control,unknown,2025-12-11
ses_I7SIS1BWMF8Y,tr_0262,2025-12-11 03:56:16,2025-12-11 03:59:25,dev_WT9OCNQW,fp_PBEDEA4XPZWY,desktop,Android,Chrome,2.10.2,136.94.217.61,12322,DE,False,False,0,8,77.8,97,1920x1080,de-DE,control,denied,2025-12-11
ses_BZ2T391DNUN3,tr_0062,2025-12-11 13:51:41,2025-12-11 13:56:08,dev_9IV3EB9G,fp_1XH8FTUZDXFK,tablet,Android,Firefox,2.10.1,215.138.79.167,13335,US,False,False,0,6,43.5,67,1536x864,de-DE,A,unknown,2025-12-11
ses_6CAZ4QEB1I4S,tr_0075,2025-12-11 23:49:24,2025-12-11 23:54:37,dev_KAROATEZ,fp_FOA4TZMZV0NS,desktop,iOS,Chrome,2.10.2,38.243.214.39,16509,US,False,False,104,10,55.5,48,1280x720,en-GB,B,unknown,2025-12-11
ses_0ML2NYDGA45O,tr_0254,2025-12-12 02:39:53,2025-12-12 02:43:32,dev_345FTP4U,fp_2K5PBRRSVSN5,tablet,iOS,Edge,2.10.2,43.114.35.215,9009,US,False,False,25,13,59.8,95,390x844,de-DE,C,granted,2025-12-12
ses_CD5N9H32ISNK,tr_0295,2025-12-12 06:47:48,2025-12-12 06:49:25,dev_TKP2PXYW,fp_7DQTBF6BIO00,tablet,Android,AppWebView,2.11.0,92.109.137.211,15169,US,False,False,67,11,63.1,62,1280x720,es-ES,control,unknown,2025-12-12
ses_VZ5WIWRGP4RR,tr_0225,2025-12-12 08:24:14,2025-12-12 08:26:34,dev_3G6WTIXZ,fp_TDNRMQISP06U,mobile_web,iOS,Chrome,2.10.2,51.171.105.126,13335,CA,False,False,167,5,93.8,68,1280x720,en-US,control,unknown,2025-12-12
ses_8XE3ACDI86YR,tr_0260,2025-12-12 08:26:51,2025-12-12 08:36:07,dev_Q2TX2XS4,fp_F4CC28FLK3BX,mobile_app,macOS,Firefox,2.11.0,115.193.57.116,15169,US,False,False,41,26,71.9,49,1280x720,en-GB,C,granted,2025-12-12
ses_4M3Z5A0KM653,tr_0196,2025-12-12 10:18:08,2025-12-12 10:20:12,dev_OOV3RLRA,fp_RV0GK7JVTP6U,tablet,Linux,Edge,2.10.2,23.204.60.129,13335,US,False,False,3,7,44.5,76,390x844,es-ES,C,denied,2025-12-12
ses_Z6CX72ZDC026,tr_0251,2025-12-12 14:37:02,2025-12-12 14:38:05,dev_ZO3ZG5OJ,fp_076B9KS1G4KT,mobile_web,iOS,Safari,2.10.2,162.209.183.155,9009,NL,False,False,107,9,54.9,70,1170x2532,fr-FR,A,denied,2025-12-12
ses_LT8CWD1D1LE9,tr_0168,2025-12-12 14:50:55,2025-12-12 14:52:43,dev_YCCPNP8P,fp_FZRSCMJ6M80O,mobile_app,iOS,AppWebView,3.0.0,141.181.111.6,12322,US,False,False,91,2,45.3,28,1536x864,de-DE,B,granted,2025-12-12
ses_745CSF0ALMWN,tr_0053,2025-12-12 16:07:43,2025-12-12 16:11:51,dev_MJ0SISJ4,fp_24IQ93H5YWL9,mobile_web,macOS,Safari,2.10.1,213.147.2.178,13335,SG,False,False,137,12,52.4,65,390x844,en-US,A,unknown,2025-12-12
ses_WZ5HD5KNKOLP,tr_0018,2025-12-12 18:10:02,2025-12-12 18:12:18,dev_DVQD7IX5,fp_NX6E7G1LUQFG,tablet,Windows,Firefox,2.11.1,52.89.54.33,20473,US,False,False,104,11,24.8,33,1280x720,fr-FR,B,denied,2025-12-12
ses_46LF2SABVOAN,tr_0051,2025-12-13 01:18:31,2025-12-13 01:19:40,dev_PA4SXVM9,fp_R66EBKHASPTP,tablet,Android,Chrome,2.11.0,146.246.141.158,14618,US,False,False,33,14,45.8,46,1170x2532,en-GB,B,unknown,2025-12-13
ses_VV6F4EUXHQ5R,tr_0321,2025-12-13 01:23:22,2025-12-13 01:30:11,dev_7A2P4LEW,fp_4P220X3OBKJQ,mobile_app,Linux,Chrome,3.0.0,10.254.71.96,3320,ES,True,False,88,8,60.9,98,1170x2532,en-US,control,unknown,2025-12-13
ses_A6Y87QS7JP1I,tr_0210,2025-12-13 02:25:02,2025-12-13 02:28:42,dev_LRIOU3WB,fp_VDDT8NCHD8ME,mobile_app,macOS,Firefox,2.11.1,42.212.140.41,8075,AU,False,False,11,9,100.0,62,1920x1080,en-US,B,denied,2025-12-13
ses_DAX158X3V3AC,tr_0027,2025-12-13 03:46:20,2025-12-13 03:48:57,dev_SHUGE00F,fp_RO6XUEEZ21P5,mobile_app,macOS,Firefox,3.0.0,120.70.218.100,24940,US,False,False,55,26,44.5,27,390x844,en-GB,A,unknown,2025-12-13
ses_CO8VXF82G7CW,tr_0096,2025-12-13 04:32:58,2025-12-13 04:36:26,dev_0U6MY9HX,fp_B6BYVSCAFF2X,mobile_web,iOS,Firefox,2.10.1,118.245.172.12,9009,US,False,False,92,4,56.5,99,1280x720,en-US,C,denied,2025-12-13
ses_M1WT4A7CCDMB,tr_0008,2025-12-13 05:12:28,2025-12-13 05:16:02,dev_GMUVZBFA,fp_UYSR6VTB9KOJ,mobile_app,iOS,AppWebView,2.10.1,156.86.19.185,9009,US,False,False,36,52,34.3,13,1536x864,fr-FR,C,granted,2025-12-13
ses_2O54WZEOW6WP,tr_0349,2025-12-13 07:53:32,2025-12-13 07:58:49,dev_0UMQWQ7N,fp_U1217AQ15IEP,tablet,macOS,Firefox,3.0.0,182.211.145.248,20473,US,False,False,0,7,73.2,44,1536x864,en-US,A,unknown,2025-12-13
ses_UQTLWBURSEIY,tr_0345,2025-12-13 10:46:28,2025-12-13 10:48:36,dev_C72INDV0,fp_XYJ6VGOE2PRJ,mobile_app,Android,Edge,2.11.1,91.135.41.100,63949,DE,False,False,0,43,65.4,33,1920x1080,fr-FR,C,granted,2025-12-13
ses_1W0XWXVTX6PO,tr_0137,2025-12-13 11:25:36,2025-12-13 11:30:01,dev_QBT55REB,fp_XGKYA3Z5NCY3,desktop,iOS,Chrome,2.10.2,154.52.98.211,13335,US,False,False,0,72,47.2,65,1280x720,es-ES,A,denied,2025-12-13
ses_V60OVKQFZBL9,tr_0014,2025-12-13 13:22:27,2025-12-13 13:24:12,dev_PEA2P3DT,fp_PI6XI24Z28AE,mobile_web,Android,Firefox,2.11.0,194.145.93.61,3320,US,True,False,9,4,46.6,99,1170x2532,es-ES,B,unknown,2025-12-13
ses_AHNMOQDP3QOI,tr_0347,2025-12-13 13:52:22,2025-12-13 13:53:19,dev_5G6X7IKP,fp_7SLMGS9VKQKR,mobile_web,Windows,Chrome,3.0.0,52.207.45.89,12322,CA,False,False,0,42,65.3,11,390x844,en-GB,control,unknown,2025-12-13
ses_GCERKNCMSBWT,tr_0029,2025-12-13 16:35:20,2025-12-13 16:37:52,dev_E87ARDM8,fp_ZPH9FC69Q0PU,desktop,Android,Edge,2.11.0,12.38.194.210,24940,US,False,False,15,36,41.8,30,390x844,en-GB,control,denied,2025-12-13
ses_WPRGAP6OTOG1,tr_0255,2025-12-13 17:33:54,2025-12-13 17:40:51,dev_WKVU4BHZ,fp_G8EOTHCW1KAZ,desktop,Linux,Firefox,2.11.0,24.53.244.148,20473,CA,False,False,51,12,74.1,35,1170x2532,en-GB,B,denied,2025-12-13
ses_Z0E677MCKUM8,tr_0131,2025-12-13 18:48:03,2025-12-13 19:00:16,dev_8BW69ZMQ,fp_9P7EQFJOD8VU,tablet,Android,Firefox,3.0.0,177.3.124.245,20473,CH,False,False,86,3,88.2,19,1280x720,en-GB,B,denied,2025-12-13
ses_MZGH4A9ZJ1PV,tr_0074,2025-12-14 00:46:16,2025-12-14 00:49:31,dev_PYH75EZM,fp_5C2W7S3TZUEJ,mobile_app,Windows,Firefox,2.10.2,183.126.149.59,16509,SG,False,True,0,25,51.2,42,1920x1080,en-US,control,denied,2025-12-14
ses_2BYNCS5834BK,tr_0123,2025-12-14 02:22:46,2025-12-14 02:30:00,dev_6DHX16H7,fp_009WVNF751VU,desktop,macOS,Firefox,2.10.2,50.147.156.44,8075,CH,False,False,0,11,71.8,58,390x844,de-DE,C,granted,2025-12-14
ses_F5ZUUMCNJY6M,tr_0265,2025-12-14 02:45:21,2025-12-14 02:49:39,dev_shared_1,fp_ZEW0U5NQWLFN,mobile_app,Android,Chrome,3.0.0,198.51.100.10,16509,US,True,False,33,23,50.9,98,1170x2532,es-ES,A,granted,2025-12-14
ses_CCM4S459JJ9G,tr_0035,2025-12-14 03:24:42,2025-12-14 03:26:13,dev_ZKVBN9JN,fp_E7SH6S0OK0Y0,tablet,Linux,Safari,2.11.1,85.40.24.177,15169,CH,False,False,0,8,70.0,74,1536x864,en-GB,C,granted,2025-12-14
ses_EFVBREVRSJRN,tr_0250,2025-12-14 06:24:10,2025-12-14 06:27:35,dev_54MYZ0KS,fp_BOAMRVZPQ6OQ,tablet,Windows,Chrome,2.10.2,39.57.230.102,9009,US,False,False,0,11,62.3,65,1920x1080,de-DE,C,unknown,2025-12-14
ses_9L564RJ2CKNI,tr_0318,2025-12-14 07:58:59,2025-12-14 08:02:21,dev_Q71RCAUM,fp_6CWHMRIH5EGL,mobile_web,Windows,Firefox,2.10.2,56.99.117.158,63949,CH,False,False,71,8,57.8,92,1920x1080,en-GB,B,unknown,2025-12-14
ses_FMNLVMVG191L,tr_0345,2025-12-14 08:13:48,2025-12-14 08:15:10,dev_OAP1KFV4,fp_4U3WO2Q66BZA,mobile_app,Windows,Edge,2.10.2,160.54.179.252,63949,DE,False,False,102,14,75.5,66,1170x2532,de-DE,A,denied,2025-12-14
ses_PHJ071V7W7Q3,tr_0140,2025-12-14 08:51:56,2025-12-14 08:58:35,dev_D5PBRXA0,fp_D8TAKC437ASF,desktop,macOS,Chrome,3.0.0,127.127.190.191,14618,GB,False,False,132,2,81.8,92,1536x864,es-ES,control,denied,2025-12-14
ses_5COTR1J5CDEZ,tr_0194,2025-12-14 09:05:35,2025-12-14 09:07:24,dev_VLV1T4DE,fp_KOX8UQTTWR2R,mobile_app,Android,Edge,2.10.2,73.116.75.87,14618,SG,False,False,50,18,79.9,18,1280x720,es-ES,B,denied,2025-12-14
ses_JQWYS36EYFA2,tr_0210,2025-12-14 11:04:17,2025-12-14 11:16:48,dev_U5QH1PTX,fp_GSRMQ0MLOLNT,mobile_web,Windows,Safari,2.10.1,76.208.238.79,3320,AU,False,False,0,12,90.0,79,1536x864,en-US,C,granted,2025-12-14
ses_9M56VAVWR5T9,tr_0351,2025-12-14 14:05:14,2025-12-14 14:18:41,dev_L1OTARLZ,fp_0QEQQA9LBPRE,mobile_web,Linux,AppWebView,2.10.1,44.2.187.22,24940,GB,False,False,93,4,100.0,81,390x844,fr-FR,A,granted,2025-12-14
ses_9LAEC8FB947E,tr_0268,2025-12-14 15:12:17,2025-12-14 15:17:32,dev_6K52BI86,fp_MTZHSP3V5VS0,desktop,Windows,AppWebView,2.11.0,184.40.244.202,16509,FR,False,False,61,19,77.0,75,1920x1080,en-GB,C,unknown,2025-12-14
ses_51TL35BDLHTY,tr_0134,2025-12-14 17:57:27,2025-12-14 17:59:59,dev_2LTUBRW6,fp_2W0DKTS3M1W2,mobile_web,Linux,Firefox,3.0.0,21.236.114.179,14618,CH,False,False,87,13,60.0,42,1170x2532,en-US,control,denied,2025-12-14
ses_INHNYL1FTYGR,tr_0042,2025-12-14 18:37:47,2025-12-14 18:41:43,dev_30VICV80,fp_1DDS123R4JZO,tablet,Android,AppWebView,2.11.0,123.141.142.186,16509,SG,True,False,69,34,36.8,21,1920x1080,en-US,B,denied,2025-12-14
ses_QQFSL828YC1U,tr_0215,2025-12-14 19:09:00,2025-12-14 19:12:15,dev_MTCB7HQ5,fp_74V90I8QDAG4,tablet,Linux,Firefox,2.10.2,10.162.113.50,16509,US,False,False,0,4,89.7,54,1536x864,fr-FR,control,denied,2025-12-14
ses_JRRW24IVSRLZ,tr_0013,2025-12-14 19:20:57,2025-12-14 19:22:25,dev_XWW4HUDS,fp_NJ53TISN96FF,mobile_web,Linux,Safari,2.11.1,26.41.137.176,24940,PL,True,False,43,17,52.2,83,1170x2532,de-DE,B,granted,2025-12-14
ses_CK43SD75OJ4M,tr_0164,2025-12-14 20:53:56,2025-12-14 20:56:45,dev_S7KHCI1F,fp_D0WWCQCLMN57,desktop,macOS,Firefox,2.11.1,67.44.47.47,8075,AU,False,False,31,94,66.5,98,1920x1080,en-GB,control,unknown,2025-12-14
ses_O8PE74ADD0GN,tr_0243,2025-12-14 21:07:09,2025-12-14 21:08:02,dev_7RVXQ51W,fp_HAL104S210U8,mobile_app,Windows,Safari,2.11.0,78.228.239.159,20473,US,False,False,0,2,63.5,6,1280x720,en-GB,control,unknown,2025-12-14
ses_J295P1CCX4O1,tr_0307,2025-12-14 23:00:32,2025-12-14 23:10:10,dev_CCY105XU,fp_R7HAL7NGTIDM,mobile_web,macOS,Edge,3.0.0,187.42.41.104,9009,US,False,False,102,27,94.8,24,390x844,en-US,B,unknown,2025-12-14
ses_FWS0GV4QMP5J,tr_0030,2025-12-15 08:57:54,2025-12-15 08:58:53,dev_HDT6293T,fp_LO1I7XJ2CZAF,mobile_web,iOS,AppWebView,2.11.1,84.248.129.119,16509,US,False,False,146,5,54.0,97,1280x720,es-ES,A,granted,2025-12-15
