order_id,trader_id,market_id,event_id,outcome,side,order_type,time_in_force,post_only,created_at,updated_at,price,size_shares,matched_size_shares,remaining_size_shares,status,cancel_reason,quote_age_ms,client_latency_ms,midpoint_before,orderbook_imbalance_before,spread_before_bps,builder_code,ui_entrypoint,signature_scheme,scoring_status,replace_count_15m,cancel_count_15m,account_age_days,wallet_balance_before_usdc,is_api_order,price_alert_active,coupon_banner_seen,date
ord_SGA6T9P1JHLP,tr_0321,mkt_020,evt_020,NO,BUY,LIMIT,GTD,False,2026-01-04 05:01:34,2026-01-04 09:55:15,0.281,20.26,16.48,3.78,PARTIAL,,302,189,0.294,0.222,112,,builder_embed,EIP-712,accepted,0,1,561,3151.35,False,False,False,2026-01-04
ord_D8TF76RBKJDF,tr_0193,mkt_040,evt_040,NO,BUY,LIMIT,GTC,False,2026-01-04 06:22:28,2026-01-04 07:05:17,0.291,116.49,16.46,100.03,CANCELED,manual_review,74,64,0.31,-0.141,63,,search,EIP-712,accepted,0,0,464,288.32,False,False,False,2026-01-04
ord_OGXSRVEYTQ9G,tr_0205,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-04 06:52:09,2026-01-04 07:08:01,0.279,9.87,9.87,0.0,FILLED,,473,92,0.27,0.275,128,builder_alpha,portfolio,EIP-712,accepted,0,1,403,6097.01,False,False,False,2026-01-04
ord_IDU30QO4UUJT,tr_0232,mkt_020,evt_020,NO,SELL,LIMIT,GTC,False,2026-01-04 09:55:16,2026-01-04 13:40:59,0.144,16.0,6.54,9.46,PARTIAL,,326,93,0.134,0.164,84,,market_page,EIP-712,accepted,0,1,216,639.59,False,True,False,2026-01-04
ord_4BTFBO17EQNA,tr_0188,mkt_020,evt_020,YES,BUY,LIMIT,FAK,True,2026-01-04 11:14:53,2026-01-04 11:24:27,0.198,35.39,35.39,0.0,FILLED,,341,28,0.205,-0.229,44,builder_gamma,search,EIP-712,accepted,0,1,541,343.26,True,False,False,2026-01-04
ord_X6X8U7MTK33J,tr_0349,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-04 11:46:43,2026-01-04 12:04:36,0.208,13.01,1.35,11.66,CANCELED,stale_price,301,169,0.218,-0.498,56,,notification,EIP-712,accepted,0,1,28,734.12,False,False,False,2026-01-04
ord_JZ0D4I0UBP8W,tr_0165,mkt_020,evt_020,NO,BUY,LIMIT,FAK,False,2026-01-04 11:49:17,2026-01-04 12:05:47,0.062,113.02,113.02,0.0,FILLED,,166,47,0.054,0.25,137,builder_beta,portfolio,EIP-712,accepted,1,1,183,2885.28,True,False,False,2026-01-04
ord_ACBLMA686H8X,tr_0147,mkt_020,evt_020,YES,BUY,LIMIT,FAK,False,2026-01-04 11:53:44,2026-01-04 12:27:54,0.058,112.63,17.99,94.64,CANCELED,manual_review,242,67,0.029,0.243,74,builder_alpha,notification,EIP-712,accepted,2,0,435,2225.92,True,False,False,2026-01-04
ord_G3DP3F5QSKB9,tr_0207,mkt_020,evt_020,NO,BUY,LIMIT,GTD,False,2026-01-04 12:22:03,2026-01-04 17:52:57,0.196,7.97,6.38,1.59,PARTIAL,,149,64,0.172,0.299,103,builder_beta,search,EIP-712,accepted,0,0,384,1975.39,False,False,False,2026-01-04
ord_6C5UIOWD8155,tr_0073,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-04 13:43:29,2026-01-04 18:13:46,0.092,9.37,1.89,7.48,PARTIAL,,260,170,0.089,-0.008,65,,builder_embed,EIP-712,accepted,0,2,55,731.4,False,True,True,2026-01-04
ord_WVQU2CJ2MDUS,tr_0084,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-04 14:35:03,2026-01-04 15:00:24,0.221,19.07,19.07,0.0,FILLED,,335,123,0.231,0.242,5,builder_gamma,builder_embed,EIP-712,accepted,0,1,245,905.06,False,True,False,2026-01-04
ord_ZAP8VLKT7J4G,tr_0293,mkt_020,evt_020,NO,SELL,LIMIT,FAK,False,2026-01-04 14:36:22,2026-01-04 19:26:59,0.053,129.02,3.22,125.8,EXPIRED,gtd_reached,148,69,0.053,0.129,130,builder_beta,builder_embed,EIP-712,accepted,2,0,382,1765.47,False,False,False,2026-01-04
ord_DFD28AKOSRGO,tr_0205,mkt_020,evt_020,NO,SELL,LIMIT,FOK,False,2026-01-04 15:53:02,2026-01-04 19:44:04,0.054,43.13,3.55,39.58,EXPIRED,gtd_reached,175,119,0.061,-0.464,34,,notification,EIP-712,accepted,0,2,403,661.98,True,False,False,2026-01-04
ord_LI6QW0SYC3RN,tr_0010,mkt_040,evt_040,NO,BUY,LIMIT,GTC,False,2026-01-04 18:45:16,2026-01-04 19:06:07,0.221,24.36,0.34,24.02,OPEN,,232,102,0.214,-0.128,152,,search,EIP-712,accepted,1,1,662,2285.22,True,False,False,2026-01-04
ord_ITUD8QUHU4C4,tr_0296,mkt_040,evt_040,NO,SELL,LIMIT,GTC,False,2026-01-05 00:01:01,2026-01-05 04:14:45,0.47,12.97,4.54,8.43,CANCELED,manual_review,200,63,0.488,0.459,135,builder_alpha,portfolio,EIP-712,accepted,4,0,723,603.62,False,True,False,2026-01-05
ord_Z4AAF49FYOCM,tr_0223,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-05 03:51:24,2026-01-05 04:08:58,0.179,144.23,144.23,0.0,FILLED,,120,94,0.166,0.512,157,builder_alpha,notification,EIP-712,accepted,1,1,555,442.54,False,False,True,2026-01-05
ord_KMM71QZUI52P,tr_0188,mkt_008,evt_008,NO,BUY,LIMIT,FAK,False,2026-01-05 04:07:00,2026-01-05 04:14:32,0.619,5.0,5.0,0.0,FILLED,,259,75,0.611,-0.06,46,builder_alpha,notification,EIP-712,accepted,1,0,542,448.24,False,False,False,2026-01-05
ord_7LEOPFEVZ5L5,tr_0214,mkt_001,evt_001,NO,BUY,LIMIT,FOK,True,2026-01-05 04:10:08,2026-01-05 04:34:03,0.803,17.13,17.13,0.0,FILLED,,115,82,0.794,0.082,79,builder_alpha,market_page,EIP-712,accepted,2,4,362,858.07,False,False,False,2026-01-05
ord_VO54HU4T8IK8,tr_0238,mkt_040,evt_040,YES,BUY,LIMIT,FOK,False,2026-01-05 05:15:50,2026-01-05 07:01:49,0.171,5.0,0.15,4.85,OPEN,,312,64,0.187,0.566,22,builder_beta,builder_embed,EIP-712,accepted,0,0,694,2387.51,False,False,False,2026-01-05
ord_R06NZYMWV6ST,tr_0111,mkt_040,evt_040,NO,SELL,LIMIT,GTC,False,2026-01-05 05:28:33,2026-01-05 05:51:49,0.532,28.99,28.99,0.0,FILLED,,129,106,0.534,-0.148,143,builder_alpha,portfolio,EIP-712,accepted,0,1,451,1780.56,False,True,False,2026-01-05
ord_56WJ3JN4LIXW,tr_0222,mkt_020,evt_020,YES,SELL,LIMIT,GTC,False,2026-01-05 05:48:40,2026-01-05 09:13:58,0.081,44.92,2.23,42.69,OPEN,,280,98,0.098,-0.041,82,builder_alpha,notification,EIP-712,accepted,1,2,680,712.89,True,False,False,2026-01-05
ord_3RTEN873K8RT,tr_0160,mkt_040,evt_040,YES,BUY,LIMIT,GTC,True,2026-01-05 06:00:13,2026-01-05 09:10:22,0.273,55.57,0.25,55.32,CANCELED,manual_review,203,471,0.278,0.018,65,builder_beta,market_page,EIP-712,accepted,0,1,358,582.25,False,False,False,2026-01-05
ord_367438OW6Q2U,tr_0251,mkt_020,evt_020,YES,BUY,LIMIT,GTD,False,2026-01-05 06:18:40,2026-01-05 11:57:51,0.093,79.57,35.77,43.8,PARTIAL,,180,106,0.082,-0.404,181,builder_beta,market_page,EIP-712,under_review,1,1,700,1529.73,False,False,False,2026-01-05
ord_C969OC3KF5PD,tr_0333,mkt_040,evt_040,YES,SELL,LIMIT,FAK,False,2026-01-05 11:45:40,2026-01-05 12:07:57,0.568,35.6,35.6,0.0,FILLED,,391,266,0.589,0.25,91,builder_beta,notification,EIP-712,accepted,0,0,345,773.72,False,False,True,2026-01-05
ord_DU0D972H5ENT,tr_0205,mkt_020,evt_020,YES,SELL,LIMIT,GTD,False,2026-01-05 12:44:27,2026-01-05 18:43:42,0.041,10.71,1.04,9.67,EXPIRED,fak_unfilled,113,82,0.039,-0.037,161,,notification,EIP-712,accepted,1,0,404,2095.68,True,True,True,2026-01-05
ord_Y1TEHPKMTQCN,tr_0337,mkt_040,evt_040,YES,SELL,LIMIT,FAK,False,2026-01-05 13:50:18,2026-01-05 19:38:22,0.326,10.46,1.33,9.13,OPEN,,118,242,0.332,-0.268,125,builder_alpha,builder_embed,EIP-712,accepted,1,0,678,560.4,True,True,False,2026-01-05
ord_SQ1I2GMZMAPW,tr_0249,mkt_040,evt_040,NO,BUY,LIMIT,FOK,False,2026-01-05 15:29:30,2026-01-05 20:29:34,0.36,17.05,3.83,13.22,CANCELED,replace,438,246,0.349,-0.312,138,,notification,EIP-712,accepted,1,0,578,1309.04,False,True,False,2026-01-05
ord_ZOCHTWMO7RVA,tr_0242,mkt_020,evt_020,NO,SELL,LIMIT,GTD,False,2026-01-05 16:44:34,2026-01-05 16:55:20,0.01,15.9,15.9,0.0,FILLED,,209,566,0.011,-0.136,133,,notification,EIP-712,accepted,1,0,685,691.89,False,False,False,2026-01-05
ord_YKPZU00IPUMI,tr_0340,mkt_001,evt_001,NO,BUY,LIMIT,FAK,True,2026-01-05 17:12:01,2026-01-05 17:32:58,0.788,23.16,6.12,17.04,CANCELED,manual_review,263,47,0.8,0.234,191,builder_gamma,search,EIP-712,accepted,1,0,402,1808.34,True,False,True,2026-01-05
ord_QW394VJN6A50,tr_0148,mkt_008,evt_008,NO,BUY,LIMIT,GTC,False,2026-01-05 17:30:52,2026-01-05 17:50:41,0.767,11.94,11.94,0.0,FILLED,,473,137,0.762,-0.142,41,builder_beta,search,EIP-712,accepted,1,1,457,1604.94,False,False,False,2026-01-05
ord_F1B0PRUBR34T,tr_0081,mkt_020,evt_020,NO,SELL,LIMIT,GTC,False,2026-01-05 17:30:59,2026-01-05 17:40:20,0.033,20.99,20.99,0.0,FILLED,,243,179,0.016,0.181,41,builder_beta,portfolio,EIP-712,accepted,0,0,521,983.11,False,False,False,2026-01-05
ord_USYVD1LFFUM7,tr_0116,mkt_020,evt_020,NO,SELL,LIMIT,GTC,False,2026-01-05 18:35:52,2026-01-05 20:24:38,0.046,19.35,0.89,18.46,CANCELED,user_cancel,597,131,0.043,-0.389,28,builder_gamma,search,EIP-712,accepted,0,2,259,3418.09,False,True,False,2026-01-05
ord_HFB5RDP8RYGH,tr_0287,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-05 19:23:21,2026-01-05 19:34:09,0.579,19.45,19.45,0.0,FILLED,,109,453,0.56,-0.356,150,,search,EIP-712,accepted,1,1,673,480.89,False,False,False,2026-01-05
ord_HV97WXXEXTPE,tr_0176,mkt_020,evt_020,YES,SELL,LIMIT,GTC,False,2026-01-05 20:23:19,2026-01-05 20:33:52,0.095,16.41,16.41,0.0,FILLED,,235,87,0.081,0.164,26,builder_beta,search,EIP-712,accepted,1,0,222,1107.84,True,True,True,2026-01-05
ord_SJSHZUMS58LZ,tr_0288,mkt_008,evt_008,NO,BUY,LIMIT,GTC,False,2026-01-05 20:25:52,2026-01-05 21:31:18,0.57,19.02,7.18,11.84,PARTIAL,,97,320,0.564,0.389,26,builder_gamma,notification,EIP-712,accepted,0,2,293,1411.81,False,False,False,2026-01-05
ord_EV60LS3KXMD2,tr_0008,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-05 20:28:35,2026-01-06 02:24:17,0.295,16.29,1.24,15.05,CANCELED,user_cancel,246,55,0.296,0.229,47,builder_alpha,search,EIP-712,accepted,0,1,452,4951.82,True,True,False,2026-01-05
ord_9ERU9XZ5RUAR,tr_0162,mkt_020,evt_020,NO,BUY,LIMIT,FAK,False,2026-01-05 20:55:48,2026-01-05 21:20:42,0.241,12.88,12.88,0.0,FILLED,,244,235,0.235,0.16,135,builder_beta,search,EIP-712,accepted,0,2,602,688.2,False,True,False,2026-01-05
ord_UUND3KIHPR8C,tr_0295,mkt_040,evt_040,YES,BUY,LIMIT,FAK,False,2026-01-05 21:09:52,2026-01-05 21:29:23,0.272,5.0,5.0,0.0,FILLED,,305,184,0.27,-0.761,19,builder_beta,notification,EIP-712,accepted,0,2,292,1417.25,True,False,False,2026-01-05
ord_ZOK1N9AYF45G,tr_0051,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-05 21:21:48,2026-01-05 21:44:21,0.126,137.56,137.56,0.0,FILLED,,259,156,0.13,-0.451,21,,search,EIP-712,accepted,0,0,256,341.53,True,True,False,2026-01-05
ord_LW9IRDTVIE16,tr_0291,mkt_020,evt_020,YES,SELL,LIMIT,FAK,False,2026-01-05 21:49:07,2026-01-06 00:52:52,0.037,800.0,40.0,760.0,CANCELED,stale_price,209,114,0.05,-0.012,81,builder_beta,builder_embed,EIP-712,accepted,5,3,450,883.8,False,True,False,2026-01-05
ord_FLV8CF3A3QJA,tr_0154,mkt_020,evt_020,NO,SELL,LIMIT,GTD,False,2026-01-05 22:23:24,2026-01-05 22:45:48,0.179,13.97,13.97,0.0,FILLED,,210,82,0.189,-0.077,57,,notification,EIP-712,accepted,1,0,218,370.37,False,False,False,2026-01-05
ord_2PY36A90RGHO,tr_0220,mkt_020,evt_020,YES,SELL,LIMIT,GTC,False,2026-01-05 22:37:52,2026-01-05 22:45:27,0.202,27.25,27.25,0.0,FILLED,,317,61,0.179,0.041,85,builder_beta,search,EIP-712,accepted,0,2,312,3153.89,True,False,False,2026-01-05
ord_P0BXIRS0QKAO,tr_0262,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-05 22:57:11,2026-01-06 03:38:25,0.027,15.26,3.93,11.33,OPEN,,90,122,0.039,0.516,89,builder_beta,notification,EIP-712,under_review,0,1,54,891.2,False,False,False,2026-01-05
ord_ZTO7LFJQL42V,tr_0001,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-05 23:35:57,2026-01-06 01:04:21,0.173,20.5,2.92,17.58,CANCELED,risk_engine,122,120,0.162,0.028,21,builder_gamma,market_page,EIP-712,accepted,0,0,392,719.68,True,True,False,2026-01-05
ord_MMDZ9T2R2GND,tr_0137,mkt_040,evt_040,NO,SELL,LIMIT,GTC,False,2026-01-06 00:23:02,2026-01-06 00:39:49,0.224,79.66,79.66,0.0,FILLED,,249,69,0.236,-0.101,97,builder_gamma,builder_embed,EIP-712,accepted,0,1,154,385.35,False,False,False,2026-01-06
ord_XA3J71MAIR7S,tr_0083,mkt_020,evt_020,YES,SELL,LIMIT,GTC,False,2026-01-06 03:23:30,2026-01-06 04:49:04,0.021,11.56,5.07,6.49,PARTIAL,,171,95,0.032,0.012,10,builder_alpha,market_page,EIP-712,accepted,1,0,334,2116.52,False,False,False,2026-01-06
ord_CU1SEHA7D45T,tr_0150,mkt_040,evt_040,YES,BUY,LIMIT,GTC,False,2026-01-06 03:25:07,2026-01-06 07:07:39,0.275,18.83,0.58,18.25,CANCELED,user_cancel,188,103,0.269,-0.74,22,,market_page,EIP-712,accepted,0,2,570,1262.04,False,False,False,2026-01-06
ord_3Q0ZK97YLP06,tr_0344,mkt_020,evt_020,NO,BUY,LIMIT,GTC,False,2026-01-06 04:31:55,2026-01-06 05:29:01,0.01,23.08,1.49,21.59,PARTIAL,,163,201,0.023,0.12,59,,search,EIP-712,accepted,0,0,213,3138.35,False,True,False,2026-01-06
ord_WH37BG08LNVE,tr_0333,mkt_035,evt_035,NO,BUY,LIMIT,GTC,False,2026-01-06 06:23:02,2026-01-06 11:13:33,0.394,64.43,1.71,62.72,CANCELED,stale_price,138,84,0.398,-0.603,171,builder_beta,notification,EIP-712,accepted,0,1,346,857.33,False,True,False,2026-01-06
ord_NSVDAJE5P3S6,tr_0168,mkt_008,evt_008,NO,BUY,LIMIT,FAK,False,2026-01-06 07:33:24,2026-01-06 07:50:32,0.505,16.5,16.5,0.0,FILLED,,108,64,0.519,0.039,179,,notification,EIP-712,accepted,1,0,437,980.92,False,False,False,2026-01-06
ord_C3MJJBAFS6IO,tr_0240,mkt_028,evt_028,NO,BUY,LIMIT,FAK,False,2026-01-06 08:06:04,2026-01-06 10:30:50,0.544,15.75,2.89,12.86,OPEN,,215,159,0.546,0.271,109,builder_beta,portfolio,EIP-712,accepted,0,3,181,1170.18,False,False,False,2026-01-06
ord_J8D2WJ4N7AHX,tr_0015,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-06 09:00:59,2026-01-06 09:10:47,0.038,16.57,16.57,0.0,FILLED,,298,139,0.025,-0.141,147,builder_gamma,market_page,EIP-712,accepted,4,0,633,798.15,True,False,False,2026-01-06
ord_7RSA2RTR2W9W,tr_0111,mkt_021,evt_021,NO,BUY,LIMIT,GTC,False,2026-01-06 10:06:06,2026-01-06 14:44:41,0.675,26.94,0.97,25.97,OPEN,,131,112,0.664,0.719,20,builder_alpha,portfolio,EIP-712,accepted,0,0,452,3253.36,False,True,False,2026-01-06
ord_N41AR4IU0Y6F,tr_0287,mkt_020,evt_020,YES,BUY,LIMIT,GTD,False,2026-01-06 10:21:31,2026-01-06 10:37:12,0.019,19.17,19.17,0.0,FILLED,,301,171,0.034,-0.103,164,,search,EIP-712,rejected,1,1,674,1623.23,False,False,False,2026-01-06
ord_AB4V3DBYJ9RP,tr_0270,mkt_040,evt_040,YES,BUY,LIMIT,GTC,True,2026-01-06 11:49:28,2026-01-06 14:55:51,0.61,10.14,1.22,8.92,EXPIRED,fok_unfilled,97,51,0.583,0.109,125,builder_gamma,portfolio,EIP-712,accepted,0,2,363,3982.28,True,False,True,2026-01-06
ord_I9CVYEBEH2DM,tr_0055,mkt_028,evt_028,YES,SELL,LIMIT,GTC,False,2026-01-06 13:21:27,2026-01-06 17:44:59,0.535,27.57,2.76,24.81,EXPIRED,fak_unfilled,93,88,0.544,0.343,81,builder_beta,search,EIP-712,accepted,0,3,399,4298.54,False,False,True,2026-01-06
ord_KYPHFV2MMHI2,tr_0107,mkt_040,evt_040,NO,BUY,LIMIT,GTC,False,2026-01-06 13:51:59,2026-01-06 17:01:25,0.243,36.56,1.61,34.95,CANCELED,risk_engine,364,80,0.259,0.208,77,builder_gamma,portfolio,EIP-712,accepted,0,0,608,297.14,False,False,False,2026-01-06
ord_IKSTWBX0D9LG,tr_0141,mkt_040,evt_040,YES,SELL,LIMIT,FOK,False,2026-01-06 14:04:07,2026-01-06 14:27:08,0.261,30.22,0.08,30.14,CANCELED,replace,462,84,0.264,-0.318,122,builder_alpha,builder_embed,EIP-712,accepted,1,0,561,887.39,False,False,False,2026-01-06
ord_042OV7EHGMLP,tr_0067,mkt_020,evt_020,NO,BUY,LIMIT,FAK,False,2026-01-06 14:43:34,2026-01-06 14:55:49,0.238,34.48,34.48,0.0,FILLED,,209,52,0.251,0.267,34,builder_gamma,builder_embed,EIP-712,accepted,1,1,21,3836.72,False,False,False,2026-01-06
ord_C02464QOE9UZ,tr_0204,mkt_008,evt_008,YES,BUY,LIMIT,GTC,False,2026-01-06 15:00:51,2026-01-06 19:22:59,0.62,26.81,4.35,22.46,PARTIAL,,256,40,0.638,-0.424,89,builder_beta,portfolio,EIP-712,accepted,0,0,524,3704.1,False,False,True,2026-01-06
ord_UX1IVW2CD3MT,tr_0333,mkt_035,evt_035,YES,BUY,LIMIT,GTC,False,2026-01-06 16:56:59,2026-01-06 20:01:32,0.317,14.49,2.03,12.46,CANCELED,risk_engine,206,101,0.312,-0.243,57,builder_beta,builder_embed,EIP-712,accepted,0,2,346,2673.53,False,False,False,2026-01-06
ord_BTCI2NWLUD58,tr_0312,mkt_035,evt_035,NO,SELL,LIMIT,GTD,False,2026-01-06 17:01:18,2026-01-06 17:05:03,0.42,5.0,5.0,0.0,FILLED,,849,232,0.417,0.271,22,builder_beta,search,EIP-712,accepted,0,1,719,1254.4,False,False,False,2026-01-06
ord_IISXF58WDMTV,tr_0118,mkt_035,evt_035,NO,BUY,LIMIT,GTC,False,2026-01-06 17:30:00,2026-01-06 23:28:31,0.398,31.86,3.99,27.87,OPEN,,107,111,0.383,-0.462,115,builder_alpha,search,EIP-712,accepted,0,1,305,1582.15,False,False,False,2026-01-06
ord_FJKFG3VI7OJ4,tr_0105,mkt_028,evt_028,YES,SELL,LIMIT,GTC,False,2026-01-06 17:30:14,2026-01-06 21:18:06,0.631,18.97,4.65,14.32,CANCELED,market_close,947,27,0.648,0.398,86,,builder_embed,EIP-712,accepted,0,0,687,2527.55,False,False,True,2026-01-06
ord_G1LJZ1X76508,tr_0104,mkt_040,evt_040,YES,SELL,LIMIT,GTC,False,2026-01-06 17:49:27,2026-01-06 18:07:12,0.321,16.48,16.48,0.0,FILLED,,188,54,0.297,-0.472,150,,builder_embed,EIP-712,accepted,0,0,491,1406.21,False,False,False,2026-01-06
ord_FCVUXYBWIYZE,tr_0039,mkt_021,evt_021,YES,BUY,LIMIT,GTC,False,2026-01-06 18:45:14,2026-01-06 23:38:37,0.947,23.41,0.25,23.16,EXPIRED,fok_unfilled,221,55,0.958,0.134,148,,portfolio,EIP-712,accepted,0,0,168,459.83,False,False,False,2026-01-06
ord_62WNZG4WEBGV,tr_0294,mkt_028,evt_028,YES,BUY,LIMIT,GTC,True,2026-01-06 18:58:50,2026-01-06 18:59:48,0.281,5.0,5.0,0.0,FILLED,,187,48,0.288,0.189,49,builder_beta,notification,EIP-712,accepted,0,1,166,323.99,False,False,False,2026-01-06
ord_VKXZN0M18XBR,tr_0216,mkt_040,evt_040,NO,SELL,LIMIT,FAK,False,2026-01-06 20:43:26,2026-01-07 00:40:12,0.484,5.43,0.18,5.25,CANCELED,manual_review,249,108,0.481,-0.214,13,builder_gamma,market_page,EIP-712,accepted,0,1,261,670.78,False,False,False,2026-01-06
ord_MCA3FTTP1K5A,tr_0098,mkt_008,evt_008,YES,SELL,LIMIT,FAK,False,2026-01-06 22:16:16,2026-01-06 22:36:06,0.501,16.94,16.94,0.0,FILLED,,797,283,0.502,-0.262,123,,portfolio,EIP-712,under_review,2,1,718,838.75,True,True,True,2026-01-06
ord_ILVZUGMIG98L,tr_0333,mkt_030,evt_030,YES,SELL,LIMIT,GTC,False,2026-01-07 00:34:10,2026-01-07 00:51:34,0.504,12.24,12.24,0.0,FILLED,,130,148,0.5,0.023,43,builder_beta,portfolio,EIP-712,accepted,0,0,347,3608.39,False,False,False,2026-01-07
ord_XUPMKV8RVFVD,tr_0214,mkt_040,evt_040,NO,BUY,LIMIT,GTC,False,2026-01-07 00:41:50,2026-01-07 04:28:23,0.143,22.16,0.84,21.32,CANCELED,manual_review,131,146,0.148,0.396,122,,portfolio,EIP-712,accepted,1,2,364,528.87,False,False,False,2026-01-07
ord_7EAO3TM78V58,tr_0292,mkt_020,evt_020,YES,BUY,LIMIT,GTC,False,2026-01-07 02:01:09,2026-01-07 02:14:04,0.01,5.0,5.0,0.0,FILLED,,310,150,0.018,0.379,110,builder_gamma,portfolio,EIP-712,accepted,0,1,219,2353.2,True,False,False,2026-01-07
ord_BFFX3Z7L036B,tr_0057,mkt_021,evt_021,NO,BUY,LIMIT,GTC,False,2026-01-07 03:45:50,2026-01-07 04:11:52,0.732,110.45,21.44,89.01,PARTIAL,,152,72,0.728,-0.206,37,builder_alpha,portfolio,EIP-712,accepted,1,1,66,2319.52,False,False,False,2026-01-07
ord_89PVBKZUO9JI,tr_0208,mkt_020,evt_020,YES,BUY,LIMIT,FAK,False,2026-01-07 04:57:45,2026-01-07 05:11:00,0.209,14.74,14.74,0.0,FILLED,,80,239,0.203,0.391,110,builder_beta,builder_embed,EIP-712,accepted,0,0,541,995.89,False,False,True,2026-01-07
ord_JM7GB0KLN5EM,tr_0292,mkt_020,evt_020,NO,SELL,LIMIT,GTD,False,2026-01-07 05:01:04,2026-01-07 05:06:42,0.223,104.18,104.18,0.0,FILLED,,186,66,0.242,0.025,144,builder_gamma,search,EIP-712,accepted,2,0,219,1880.72,False,False,False,2026-01-07
